DC_ID	DCC_ID
DC000093	DCC0469
DC000094	DCC0320
DC000094	DCC0408
DC000095	DCC0344
DC000095	DCC0413
DC000096	DCC0079
DC000096	DCC0245
DC000096	DCC0323
DC000097	DCC0350
DC000097	DCC0413
DC000098	DCC0111
DC000098	DCC0179
DC000098	DCC0281
DC000099	DCC0016
DC000099	DCC0277
DC000099	DCC0325
DC000100	DCC0179
DC000100	DCC0281
DC000101	DCC0111
DC000101	DCC0179
DC000102	DCC0001
DC000102	DCC0012
DC000103	DCC0114
DC000103	DCC0351
DC000104	DCC0290
DC000104	DCC0419
DC000105	DCC0045
DC000105	DCC0150
DC000105	DCC0225
DC000106	DCC0263
DC000106	DCC0391
DC000107	DCC0045
DC000107	DCC0225
DC000108	DCC0011
DC000108	DCC0223
DC000109	DCC0040
DC000109	DCC0467
DC000110	DCC0049
DC000110	DCC0051
DC000110	DCC0240
DC000111	DCC0040
DC000111	DCC0185
DC000112	DCC0021
DC000112	DCC0049
DC000112	DCC0240
DC000113	DCC0029
DC000113	DCC0152
DC000114	DCC0172
DC000114	DCC0220
DC000115	DCC0031
DC000115	DCC0049
DC000116	DCC0242
DC000116	DCC0280
DC000117	DCC0062
DC000117	DCC0242
DC000117	DCC0280
DC000118	DCC0246
DC000118	DCC0373
DC000119	DCC0097
DC000119	DCC0196
DC000120	DCC0057
DC000120	DCC0303
DC000121	DCC0057
DC000121	DCC0233
DC000122	DCC0152
DC000122	DCC0157
DC000123	DCC0062
DC000123	DCC0407
DC000124	DCC0396
DC000124	DCC0406
DC000125	DCC0060
DC000125	DCC0378
DC000126	DCC0105
DC000126	DCC0399
DC000127	DCC0064
DC000127	DCC0378
DC000128	DCC0057
DC000128	DCC0259
DC000129	DCC0062
DC000129	DCC0280
DC000129	DCC0407
DC000130	DCC0021
DC000130	DCC0055
DC000130	DCC0089
DC000131	DCC0004
DC000131	DCC0126
DC000131	DCC0271
DC000131	DCC0325
DC000132	DCC0008
DC000132	DCC0323
DC000133	DCC0008
DC000133	DCC0117
DC000133	DCC0295
DC000134	DCC0104
DC000134	DCC0128
DC000134	DCC0307
DC000135	DCC0016
DC000135	DCC0156
DC000135	DCC0277
DC000135	DCC0278
DC000136	DCC0049
DC000136	DCC0051
DC000137	DCC0024
DC000137	DCC0273
DC000138	DCC0021
DC000138	DCC0049
DC000138	DCC0346
DC000139	DCC0001
DC000139	DCC0429
DC000140	DCC0021
DC000140	DCC0031
DC000140	DCC0049
DC000140	DCC0051
DC000141	DCC0021
DC000141	DCC0031
DC000141	DCC0049
DC000142	DCC0049
DC000142	DCC0160
DC000143	DCC0280
DC000143	DCC0318
DC000144	DCC0049
DC000144	DCC0163
DC000145	DCC0147
DC000145	DCC0273
DC000146	DCC0049
DC000146	DCC0112
DC000147	DCC0273
DC000147	DCC0280
DC000148	DCC0049
DC000148	DCC0346
DC000149	DCC0273
DC000149	DCC0318
DC000150	DCC0354
DC000150	DCC0375
DC000151	DCC0057
DC000151	DCC0267
DC000152	DCC0021
DC000152	DCC0240
DC000152	DCC0346
DC000153	DCC0057
DC000153	DCC0286
DC000154	DCC0018
